os_major_version,feature_release_version,release_full_name,release_date,build_number,kb
Windows 10,22H2,Version 22H2 (OS build 19045),2024-12-10,19045.5247,KB5048652
Windows 10,22H2,Version 22H2 (OS build 19045),2024-11-21,19045.5198,KB5046714
Windows 10,22H2,Version 22H2 (OS build 19045),2024-11-12,19045.5131,KB5046613
Windows 10,22H2,Version 22H2 (OS build 19045),2024-10-22,19045.5073,KB5045594
Windows 10,22H2,Version 22H2 (OS build 19045),2024-10-08,19045.5011,KB5044273
Windows 10,22H2,Version 22H2 (OS build 19045),2024-09-24,19045.4957,KB5043131
Windows 10,22H2,Version 22H2 (OS build 19045),2024-09-10,19045.4894,KB5043064
Windows 10,22H2,Version 22H2 (OS build 19045),2024-08-29,19045.4842,KB5041582
Windows 10,22H2,Version 22H2 (OS build 19045),2024-08-13,19045.4780,KB5041580
Windows 10,22H2,Version 22H2 (OS build 19045),2024-07-23,19045.4717,KB5040525
Windows 10,22H2,Version 22H2 (OS build 19045),2024-07-09,19045.4651,KB5040427
Windows 10,22H2,Version 22H2 (OS build 19045),2024-06-25,19045.4598,KB5039299
Windows 10,22H2,Version 22H2 (OS build 19045),2024-06-11,19045.4529,KB5039211
Windows 10,22H2,Version 22H2 (OS build 19045),2024-05-29,19045.4474,KB5037849
Windows 10,22H2,Version 22H2 (OS build 19045),2024-05-14,19045.4412,KB5037768
Windows 10,22H2,Version 22H2 (OS build 19045),2024-04-23,19045.4355,KB5036979
Windows 10,22H2,Version 22H2 (OS build 19045),2024-04-09,19045.4291,KB5036892
Windows 10,22H2,Version 22H2 (OS build 19045),2024-03-26,19045.4239,KB5035941
Windows 10,22H2,Version 22H2 (OS build 19045),2024-03-12,19045.4170,KB5035845
Windows 10,22H2,Version 22H2 (OS build 19045),2024-02-29,19045.4123,KB5034843
Windows 10,22H2,Version 22H2 (OS build 19045),2024-02-13,19045.4046,KB5034763
Windows 10,22H2,Version 22H2 (OS build 19045),2024-01-23,19045.3996,KB5034203
Windows 10,22H2,Version 22H2 (OS build 19045),2024-01-09,19045.3930,KB5034122
Windows 10,22H2,Version 22H2 (OS build 19045),2023-12-12,19045.3803,KB5033372
Windows 10,22H2,Version 22H2 (OS build 19045),2023-11-30,19045.3758,KB5032278
Windows 10,22H2,Version 22H2 (OS build 19045),2023-11-14,19045.3693,KB5032189
Windows 10,22H2,Version 22H2 (OS build 19045),2023-10-26,19045.3636,KB5031445
Windows 10,22H2,Version 22H2 (OS build 19045),2023-10-10,19045.3570,KB5031356
Windows 10,22H2,Version 22H2 (OS build 19045),2023-09-26,19045.3516,KB5030300
Windows 10,22H2,Version 22H2 (OS build 19045),2023-09-12,19045.3448,KB5030211
Windows 10,22H2,Version 22H2 (OS build 19045),2023-08-22,19045.3393,KB5029331
Windows 10,22H2,Version 22H2 (OS build 19045),2023-08-08,19045.3324,KB5029244
Windows 10,22H2,Version 22H2 (OS build 19045),2023-07-25,19045.3271,KB5028244
Windows 10,22H2,Version 22H2 (OS build 19045),2023-07-11,19045.3208,KB5028166
Windows 10,22H2,Version 22H2 (OS build 19045),2023-06-27,19045.3155,KB5027293
Windows 10,22H2,Version 22H2 (OS build 19045),2023-06-13,19045.3086,KB5027215
Windows 10,22H2,Version 22H2 (OS build 19045),2023-05-23,19045.3031,KB5026435
Windows 10,22H2,Version 22H2 (OS build 19045),2023-05-09,19045.2965,KB5026361
Windows 10,22H2,Version 22H2 (OS build 19045),2023-04-25,19045.2913,KB5025297
Windows 10,22H2,Version 22H2 (OS build 19045),2023-04-11,19045.2846,KB5025221
Windows 10,22H2,Version 22H2 (OS build 19045),2023-03-21,19045.2788,KB5023773
Windows 10,22H2,Version 22H2 (OS build 19045),2023-03-14,19045.2728,KB5023696
Windows 10,22H2,Version 22H2 (OS build 19045),2023-02-21,19045.2673,KB5022906
Windows 10,22H2,Version 22H2 (OS build 19045),2023-02-14,19045.2604,KB5022834
Windows 10,22H2,Version 22H2 (OS build 19045),2023-01-19,19045.2546,KB5019275
Windows 10,22H2,Version 22H2 (OS build 19045),2023-01-10,19045.2486,KB5022282
Windows 10,22H2,Version 22H2 (OS build 19045),2022-12-13,19045.2364,KB5021233
Windows 10,22H2,Version 22H2 (OS build 19045),2022-11-15,19045.2311,KB5020030
Windows 10,22H2,Version 22H2 (OS build 19045),2022-11-08,19045.2251,KB5019959
Windows 10,22H2,Version 22H2 (OS build 19045),2022-10-18,19045.2130
Windows 10,21H2,Version 21H2 (OS build 19044),2024-12-10,19044.5247,KB5048652
Windows 10,21H2,Version 21H2 (OS build 19044),2024-11-12,19044.5131,KB5046613
Windows 10,21H2,Version 21H2 (OS build 19044),2024-10-08,19044.5011,KB5044273
Windows 10,21H2,Version 21H2 (OS build 19044),2024-09-10,19044.4894,KB5043064
Windows 10,21H2,Version 21H2 (OS build 19044),2024-08-13,19044.4780,KB5041580
Windows 10,21H2,Version 21H2 (OS build 19044),2024-07-09,19044.4651,KB5040427
Windows 10,21H2,Version 21H2 (OS build 19044),2024-06-11,19044.4529,KB5039211
Windows 10,21H2,Version 21H2 (OS build 19044),2024-05-14,19044.4412,KB5037768
Windows 10,21H2,Version 21H2 (OS build 19044),2024-04-09,19044.4291,KB5036892
Windows 10,21H2,Version 21H2 (OS build 19044),2024-03-12,19044.4170,KB5035845
Windows 10,21H2,Version 21H2 (OS build 19044),2024-02-13,19044.4046,KB5034763
Windows 10,21H2,Version 21H2 (OS build 19044),2024-01-09,19044.3930,KB5034122
Windows 10,21H2,Version 21H2 (OS build 19044),2023-12-12,19044.3803,KB5033372
Windows 10,21H2,Version 21H2 (OS build 19044),2023-11-14,19044.3693,KB5032189
Windows 10,21H2,Version 21H2 (OS build 19044),2023-10-10,19044.3570,KB5031356
Windows 10,21H2,Version 21H2 (OS build 19044),2023-09-12,19044.3448,KB5030211
Windows 10,21H2,Version 21H2 (OS build 19044),2023-08-08,19044.3324,KB5029244
Windows 10,21H2,Version 21H2 (OS build 19044),2023-07-11,19044.3208,KB5028166
Windows 10,21H2,Version 21H2 (OS build 19044),2023-06-13,19044.3086,KB5027215
Windows 10,21H2,Version 21H2 (OS build 19044),2023-05-09,19044.2965,KB5026361
Windows 10,21H2,Version 21H2 (OS build 19044),2023-04-11,19044.2846,KB5025221
Windows 10,21H2,Version 21H2 (OS build 19044),2023-03-21,19044.2788,KB5023773
Windows 10,21H2,Version 21H2 (OS build 19044),2023-03-14,19044.2728,KB5023696
Windows 10,21H2,Version 21H2 (OS build 19044),2023-02-21,19044.2673,KB5022906
Windows 10,21H2,Version 21H2 (OS build 19044),2023-02-14,19044.2604,KB5022834
Windows 10,21H2,Version 21H2 (OS build 19044),2023-01-19,19044.2546,KB5019275
Windows 10,21H2,Version 21H2 (OS build 19044),2023-01-10,19044.2486,KB5022282
Windows 10,21H2,Version 21H2 (OS build 19044),2022-12-13,19044.2364,KB5021233
Windows 10,21H2,Version 21H2 (OS build 19044),2022-11-15,19044.2311,KB5020030
Windows 10,21H2,Version 21H2 (OS build 19044),2022-11-08,19044.2251,KB5019959
Windows 10,21H2,Version 21H2 (OS build 19044),2022-10-28,19044.2194,KB5020953
Windows 10,21H2,Version 21H2 (OS build 19044),2022-10-25,19044.2193,KB5018482
Windows 10,21H2,Version 21H2 (OS build 19044),2022-10-17,19044.2132,KB5020435
Windows 10,21H2,Version 21H2 (OS build 19044),2022-10-11,19044.2130,KB5018410
Windows 10,21H2,Version 21H2 (OS build 19044),2022-09-20,19044.2075,KB5017380
Windows 10,21H2,Version 21H2 (OS build 19044),2022-09-13,19044.2006,KB5017308
Windows 10,21H2,Version 21H2 (OS build 19044),2022-08-26,19044.1949,KB5016688
Windows 10,21H2,Version 21H2 (OS build 19044),2022-08-09,19044.1889,KB5016616
Windows 10,21H2,Version 21H2 (OS build 19044),2022-07-26,19044.1865,KB5015878
Windows 10,21H2,Version 21H2 (OS build 19044),2022-07-12,19044.1826,KB5015807
